trade_date,long,short,benchmark,ls
20160201,0.3992,-0.000699999999999981,0.507258,0.3999
20160215,0.01670000000000001,0.024800000000000006,0.507258,-0.008099999999999996
20160222,0.028500000000000004,0.11599999999999999,0.507258,-0.0875
20160229,0.15791153846153844,0.17795384615384616,0.507258,-0.02004230769230772
20160314,0.19279999999999997,0.060399999999999995,-0.04738200000000001,0.13239999999999996
20160321,0.18140000000000003,-0.2563,-0.04738200000000001,0.4377
20160328,-0.02581346153846154,-0.010349056603773587,-0.04738200000000001,-0.015464404934687951
20160411,0.012900000000000002,0.0658,-0.02138999999999997,-0.052899999999999996
20160418,0.03240000000000001,-0.015700000000000006,-0.02138999999999997,0.04810000000000002
20160425,-0.03341509433962264,0.00898301886792453,-0.02138999999999997,-0.042398113207547175
20160509,0.2659,-0.007899999999999999,0.201273,0.27380000000000004
20160516,0.2,-0.11839999999999999,0.201273,0.3184
20160523,0.040299999999999996,0.37520000000000003,0.201273,-0.33490000000000003
20160530,0.07981509433962264,0.0820754716981132,0.201273,-0.0022603773584905645
20160606,-0.1624,-0.1634,-0.07845600000000001,0.0010000000000000009
20160613,0.1387,0.144,-0.07845600000000001,-0.005299999999999999
20160620,-0.032,0.24509999999999998,-0.07845600000000001,-0.2771
20160627,-0.04644339622641509,-0.03573584905660377,-0.07845600000000001,-0.010707547169811323
20160704,0.028899999999999988,0.41809999999999997,0.11961000000000001,-0.3892
20160711,0.1399,-0.13859999999999997,0.11961000000000001,0.27849999999999997
20160718,0.1353,-0.2295,0.11961000000000001,0.3648
20160725,0.038118867924528295,0.040241509433962264,0.11961000000000001,-0.0021226415094339687
20160815,0.014699999999999998,-0.0914,-0.05735400000000001,0.1061
20160822,0.048299999999999996,0.27140000000000003,-0.05735400000000001,-0.22310000000000002
20160829,-0.02407037037037037,-0.03824444444444444,-0.05735400000000001,0.014174074074074072
20160905,-0.0332,-0.1089,0.08672400000000001,0.07569999999999999
20160912,-0.22806,-0.632576,0.08672400000000001,0.404516
20160919,0.06709999999999999,-0.02899999999999999,0.08672400000000001,0.09609999999999999
20160926,0.05237407407407407,0.046705555555555556,0.08672400000000001,0.005668518518518517
20161017,-0.04000000000000001,-0.09259999999999999,0.03622500000000001,0.05259999999999998
20161024,-0.0017999999999999995,0.5603,0.03622500000000001,-0.5621
20161031,-0.013692727272727273,0.058092727272727275,0.03622500000000001,-0.07178545454545454
20161107,0.10980000000000002,0.1744,-0.173463,-0.06459999999999998
20161114,-0.0235,-0.029900000000000006,-0.173463,0.006400000000000006
20161121,-0.1099,0.1324,-0.173463,-0.2423
20161128,-0.03213888888888889,-0.05595740740740741,-0.173463,0.023818518518518517
20161205,-0.2092,-0.0998,-0.09731699999999999,-0.1094
20161212,0.05999999999999999,-0.2138,-0.09731699999999999,0.2738
20161219,-0.07370000000000002,-0.02520000000000001,-0.09731699999999999,-0.0485
20161226,-0.025337500000000002,0.019660714285714285,-0.09731699999999999,-0.04499821428571429
20170109,-0.028200000000000006,0.19609999999999997,0.109695,-0.22429999999999997
20170116,-0.0764,0.18689999999999998,0.109695,-0.2633
20170123,0.047508771929824556,0.12713859649122808,0.109695,-0.07962982456140352
20170206,-0.17880000000000001,-0.1081,-0.05859599999999999,-0.07070000000000001
20170213,-0.2615,0.045899999999999996,-0.05859599999999999,-0.3074
20170220,-0.1095,-0.07170000000000001,-0.05859599999999999,-0.037799999999999986
20170227,0.0068120689655172435,0.0153551724137931,-0.05859599999999999,-0.008543103448275857
20170313,0.0641,-0.40780000000000005,-0.180477,0.47190000000000004
20170320,-0.1053,-0.1053,-0.180477,0.0
20170327,-0.052361016949152545,-0.0700406779661017,-0.180477,0.01767966101694915
20170410,-0.10570000000000002,-0.1381,-0.24638700000000002,0.032399999999999984
20170417,-0.1238,-0.21230000000000002,-0.24638700000000002,0.08850000000000002
20170424,-0.0881406779661017,-0.08221525423728814,-0.24638700000000002,-0.005925423728813564
20170508,0.10540000000000001,-0.0488,0.10727999999999999,0.1542
20170515,0.2012,-0.1163,0.10727999999999999,0.3175
20170522,0.027926666666666666,0.03256666666666667,0.10727999999999999,-0.004640000000000002
20170605,0.1005,-0.1756,-0.0027959999999999877,0.2761
20170619,0.003299999999999994,0.0601,-0.0027959999999999877,-0.0568
20170626,0.014000000000000002,-0.005379999999999999,-0.0027959999999999877,0.01938
20170703,0.010599999999999995,-0.1145,0.095388,0.1251
20170710,0.2884,0.04870000000000001,0.095388,0.23969999999999997
20170717,-0.17179999999999998,0.1686,0.095388,-0.3404
20170724,0.1079,0.04880000000000001,0.095388,0.059099999999999986
20170731,0.03326,0.14215333333333333,0.095388,-0.10889333333333333
20170807,0.19990000000000002,-0.2519,0.06450299999999999,0.45180000000000003
20170814,-0.2597,0.0483,0.06450299999999999,-0.308
20170821,-0.36125100000000004,0.2016,0.06450299999999999,-0.562851
20170828,0.018777049180327868,0.05294677419354839,0.06450299999999999,-0.03416972501322052
20170904,-0.1122,-0.2298,-0.079098,0.11760000000000001
20170911,-0.0998,-0.0197,-0.079098,-0.0801
20170918,0.0013000000000000034,-0.22780000000000003,-0.079098,0.22910000000000003
20170925,-0.03173064516129032,-0.0026322580645161287,-0.079098,-0.029098387096774196
20171009,-0.0758,-0.1677,-0.189936,0.09189999999999998
20171016,-0.0817,-0.0675,-0.189936,-0.01419999999999999
20171023,-0.2737,-0.23890000000000003,-0.189936,-0.03479999999999997
20171030,-0.06771904761904762,-0.07366349206349207,-0.189936,0.005944444444444447
20171120,0.05050000000000002,0.0618,-0.054852000000000005,-0.011299999999999984
20171127,0.0019796874999999975,-0.007179687499999999,-0.054852000000000005,0.009159374999999996
20171211,-0.0173,-0.023300000000000015,-0.09531600000000001,0.006000000000000016
20171218,0.0385,0.0947,-0.09531600000000001,-0.05620000000000001
20171225,-0.024240625,-0.06690625,-0.09531600000000001,0.042665625
20180115,-0.1153,0.3112,-0.091695,-0.4265
20180122,0.13790000000000005,-0.09669999999999998,-0.091695,0.23460000000000003
20180129,-0.012049999999999998,-0.00014218749999999865,-0.091695,-0.0119078125
20180226,0.049509375,0.10544307692307692,0.11367899999999999,-0.055933701923076916
20180319,-0.1587,-0.057200000000000015,-0.123312,-0.10149999999999999
20180326,-0.043227369230769225,-0.03688615384615384,-0.123312,-0.006341215384615385
20180409,-0.06440000000000001,-0.25243099999999996,-0.09053699999999999,0.18803099999999995
20180416,-0.17089,-0.08070000000000001,-0.09053699999999999,-0.09018999999999998
20180423,-0.02248153846153846,0.006498461538461538,-0.09053699999999999,-0.02898
20180507,0.030759999999999985,-0.198842,-0.34311300000000006,0.22960199999999997
20180521,-0.156021,-0.0713,-0.34311300000000006,-0.08472099999999999
20180528,-0.06376461538461539,-0.0731,-0.34311300000000006,0.009335384615384607
20180604,-0.331243,-0.289333,-0.029520000000000005,-0.04191
20180611,0.320842,-0.24267799999999998,-0.029520000000000005,0.56352
20180625,0.021253092307692307,-0.01744204615384615,-0.029520000000000005,0.03869513846153846
20180730,-0.08199616417910448,-0.08833179104477612,-0.266733,0.0063356268656716425
20180820,-0.11799099999999998,-0.08260200000000001,-0.039096000000000006,-0.035388999999999976
20180827,-0.027985746268656717,-0.009517514705882354,-0.039096000000000006,-0.018468231562774363
20180910,-0.110898,-0.176574,-0.35644200000000004,0.06567600000000001
20180917,-0.10423957352941177,-0.09221486764705883,-0.35644200000000004,-0.012024705882352937
20181029,0.06745284057971014,0.050135797101449275,0.17348999999999998,0.017317043478260866
20181126,-0.033113800000000006,-0.043294742857142854,-0.139344,0.010180942857142848
20181224,-0.0002754428571428586,-0.012444171428571429,-0.046653,0.01216872857142857
20190128,0.23960042253521127,0.24089777464788734,0.615675,-0.0012973521126760645
20190218,0.3337,0.171268,0.326388,0.162432
20190225,0.10503007042253522,0.1381721971830986,0.326388,-0.03314212676056337
20190318,-0.21065000000000003,0.200314,-0.10853700000000001,-0.410964
20190325,-0.0371276338028169,-0.04130674647887324,-0.10853700000000001,0.004179112676056335
20190422,-0.359846,-0.118233,-0.171609,-0.241613
20190429,-0.06593484507042253,-0.013898041666666666,-0.171609,-0.05203680340375587
20190527,-0.009626555555555557,0.010711083333333336,-0.0006209999999999948,-0.02033763888888889
20190624,-0.02948266666666667,-0.03095340277777778,-0.06338399999999998,0.0014707361111111102
20190729,0.022855594594594596,0.02060582432432432,-0.004875,0.0022497702702702765
20190826,0.0019348513513513521,0.03240755405405405,0.03467400000000001,-0.0304727027027027
20190930,-0.0037852027027027056,-0.03779054054054054,0.015573,0.03400533783783784
20191028,-0.008882706666666665,-0.015592613333333333,-0.070842,0.006709906666666668
20191125,0.09399004,0.09878894666666667,0.250533,-0.004798906666666672
20191230,0.030138626666666668,0.039789279999999996,0.07486199999999998,-0.009650653333333328
20200120,0.05298958666666667,0.033440279999999996,0.11646300000000001,0.019549306666666676
20200224,-0.046301552631578945,-0.06055772368421053,-0.21844200000000003,0.014256171052631585
20200330,0.013799815789473684,0.059748631578947366,0.14300400000000002,-0.045948815789473685
20200427,0.06290797368421053,0.033223723684210525,0.075696,0.029684250000000002
20200525,0.0936727922077922,0.10980996103896103,0.251652,-0.01613716883116882
20200622,0.03291199999999999,0.07925800000000001,0.38631299999999996,-0.04634600000000002
20200629,0.12833818181818182,0.12368822077922077,0.38631299999999996,0.004649961038961051
20200727,0.0036481298701298687,0.016899285714285714,0.041097,-0.013251155844155845
20200824,0.10816200000000005,0.057976000000000014,-0.25562700000000005,0.050186000000000036
20200831,-0.05693149367088607,-0.0808939493670886,-0.25562700000000005,0.023962455696202534
20200921,-0.06992200000000001,-0.06728,-0.04315500000000001,-0.0026420000000000055
20200928,0.03333795,0.009907887499999999,-0.04315500000000001,0.0234300625
