group,avg_return,std_return,n_periods
1.0,0.009017899050786149,0.16947655476625748,207
2.0,0.011808009986339732,0.07551629187808194,139
3.0,0.004499619962481945,0.07434346387824103,143
4.0,-0.0012626118352291565,0.08969598486723393,143
5.0,0.005860219364925688,0.10640864758649249,171
6.0,0.01175224283757212,0.06686938175628467,133
7.0,0.014546169356587518,0.0831564451946923,136
8.0,0.011727978015631463,0.11010126134150185,150
9.0,0.010462740131415458,0.06997399498035756,132
10.0,0.007811694118818301,0.15358134801449952,207
