con_code
300475.SZ
688498.SH
688110.SH
600105.SH
001309.SZ
300548.SZ
300666.SZ
603308.SH
002456.SZ
002497.SZ
600331.SH
002716.SZ
688270.SH
603083.SH
601208.SH
601869.SH
688200.SH
300456.SZ
688343.SH
688313.SH
002222.SZ
002487.SZ
300762.SZ
600577.SH
300170.SZ
002405.SZ
600759.SH
601020.SH
002428.SZ
688333.SH
300620.SZ
300672.SZ
002378.SZ
300102.SZ
600259.SH
600595.SH
603516.SH
300409.SZ
002506.SZ
603306.SH
688766.SH
601126.SH
600100.SH
000766.SZ
603005.SH
000603.SZ
601677.SH
600330.SH
000636.SZ
601777.SH
600388.SH
300065.SZ
300738.SZ
603667.SH
605376.SH
603119.SH
688548.SH
002245.SZ
000875.SZ
688048.SH
300655.SZ
301550.SZ
300568.SZ
300253.SZ
300182.SZ
002151.SZ
000969.SZ
301171.SZ
002249.SZ
002176.SZ
300296.SZ
688516.SH
688630.SH
001203.SZ
002400.SZ
600338.SH
688205.SH
600986.SH
688123.SH
002617.SZ
002270.SZ
600114.SH
603881.SH
688503.SH
002171.SZ
600201.SH
300236.SZ
002149.SZ
300775.SZ
688327.SH
688331.SH
603236.SH
300049.SZ
300459.SZ
300131.SZ
688208.SH
300088.SZ
000737.SZ
688536.SH
605090.SH
688409.SH
002484.SZ
300953.SZ
002545.SZ
601606.SH
000917.SZ
600869.SH
300085.SZ
002389.SZ
002139.SZ
600246.SH
600301.SH
002237.SZ
603127.SH
600667.SH
301377.SZ
300229.SZ
600550.SH
600490.SH
002326.SZ
601975.SH
301526.SZ
688005.SH
605111.SH
688141.SH
603588.SH
300777.SZ
000422.SZ
300315.SZ
002895.SZ
601636.SH
300773.SZ
300438.SZ
300468.SZ
002048.SZ
600151.SH
300811.SZ
002611.SZ
600206.SH
600155.SH
600531.SH
000901.SZ
002182.SZ
300083.SZ
300035.SZ
000970.SZ
688390.SH
688372.SH
688158.SH
002145.SZ
300593.SZ
600728.SH
601519.SH
002396.SZ
300398.SZ
300045.SZ
000612.SZ
300870.SZ
000811.SZ
002276.SZ
688362.SH
300068.SZ
002046.SZ
603256.SH
600323.SH
688116.SH
300779.SZ
603063.SH
300638.SZ
600877.SH
600761.SH
002015.SZ
600459.SH
603613.SH
300850.SZ
601778.SH
300007.SZ
600120.SH
300113.SZ
300674.SZ
300008.SZ
002539.SZ
600529.SH
688779.SH
002104.SZ
603619.SH
000688.SZ
002518.SZ
300624.SZ
300776.SZ
600416.SH
000762.SZ
300184.SZ
688800.SH
300303.SZ
002544.SZ
688433.SH
300077.SZ
600596.SH
002317.SZ
300199.SZ
002373.SZ
300657.SZ
688484.SH
000681.SZ
603009.SH
688652.SH
600456.SH
600961.SH
600641.SH
000686.SZ
002536.SZ
600179.SH
000758.SZ
300573.SZ
300166.SZ
001301.SZ
000778.SZ
603678.SH
300101.SZ
002192.SZ
603612.SH
300682.SZ
002747.SZ
600452.SH
600635.SH
603300.SH
601375.SH
688147.SH
300827.SZ
600072.SH
301316.SZ
000680.SZ
000581.SZ
688559.SH
600113.SH
002324.SZ
301205.SZ
688088.SH
603305.SH
301511.SZ
002268.SZ
603358.SH
600821.SH
002036.SZ
301217.SZ
000035.SZ
600366.SH
002364.SZ
300181.SZ
300260.SZ
600258.SH
600850.SH
300009.SZ
300618.SZ
600872.SH
600186.SH
300348.SZ
002681.SZ
